"Nome","l0","l1","l2","Genero","ConfId","Posicao"
"Ömer Egecioglu","GreaterAfrican","Africans","\N","M","conf/icde/WuAEA07",2
"Ömer Egecioglu","GreaterAfrican","Africans","\N","M","conf/latin/ArslanE02",1
"Ömer Egecioglu","GreaterAfrican","Africans","\N","M","conf/cikm/EgeciogluF00",0
"Ömer Egecioglu","GreaterAfrican","Africans","\N","M","conf/mfcs/IbarraDES03",2
"Ömer Egecioglu","GreaterAfrican","Africans","\N","M","conf/infocom/PuttaswamySEZ09",2
"Ömer Egecioglu","GreaterAfrican","Africans","\N","M","conf/icde/DasEA10",1
"Ömer Erdem Demir","GreaterAfrican","Muslim","\N","M","conf/icse/DemirDMW05",0
"Önder Babur","Asian","IndianSubContinent","\N","M","conf/kbse/Babur16",0
"Övünç Bozcan","GreaterEuropean","WestEuropean","Hispanic","M","conf/icse/BozcanB13",0
"Özalp Babaoglu","GreaterAfrican","Muslim","\N","M","conf/coopis/BabaogluBMPVW04",0
"Özgü Alay","GreaterEuropean","EastEuropean","\N","F","conf/infocom/LivadariuFADDE15",2
"Özgü Alay","GreaterEuropean","EastEuropean","\N","F","conf/mobicom/AlayLGQMHDWEHAK16",0
"Özgü Alay","GreaterEuropean","EastEuropean","\N","F","conf/infocom/FerlinADHW16",1
"Özgül Salor","GreaterAfrican","Muslim","\N","F","conf/kdd/GuderCSC09",2
"Özgür Özkan","GreaterAfrican","Muslim","\N","M","conf/isaac/HellersteinOS11",1
"Özgür Özkan","GreaterAfrican","Muslim","\N","M","conf/icalp/IaconoO14",1
"Özgür Özkan","GreaterAfrican","Muslim","\N","M","conf/soda/AloupisILOW14",3
"Özgür Özkan","GreaterAfrican","Muslim","\N","M","conf/icalp/DemaineILO13",3
"Özgür Özkan","GreaterAfrican","Muslim","\N","M","conf/icalp/IaconoO10",1
"Özgür Özkan","GreaterAfrican","Muslim","\N","M","conf/esa/DavoodiFIO14",3
"Özgür Çetin","GreaterAfrican","Muslim","\N","M","conf/kdd/ShaparenkoCI09",1
"Özgür Alan","GreaterEuropean","WestEuropean","French","M","conf/icde/KaraASACA10",1
"Özgür B. Akan","GreaterAfrican","Muslim","\N","M","conf/infocom/OzgerA13",1
"Özgür B. Akan","GreaterAfrican","Muslim","\N","M","conf/infocom/KocaogluA12",1
"Özgür Dagdelen","GreaterEuropean","British","\N","M","conf/eurocrypt/ZhangZDSD15",4
"Özgür Erçetin","GreaterAfrican","Muslim","\N","M","conf/infocom/JakllariKFKE06",4
"Özgür Erçetin","GreaterAfrican","Muslim","\N","M","conf/infocom/AthanasiouKET07",2
"Özgür Erçetin","GreaterAfrican","Muslim","\N","M","conf/infocom/KhalilKEE11",2
"Özgür L. Özçep","GreaterAfrican","Muslim","\N","M","conf/sigmod/KharlamovBJKLMN16",7
"Özgür Sümer","GreaterAfrican","Muslim","\N","M","conf/aaai/SumerAIM11",0
"Özgür Sümer","GreaterAfrican","Muslim","\N","M","conf/soda/Sumer05",0
"Özgür Simsek","GreaterAfrican","Muslim","\N","M","conf/aaai/Simsek05",0
"Özgür Simsek","GreaterAfrican","Muslim","\N","M","conf/icml/SimsekB04",0
"Özgür Simsek","GreaterAfrican","Muslim","\N","M","conf/kdd/NevilleSJKPG05",1
"Özgür Simsek","GreaterAfrican","Muslim","\N","M","conf/ijcai/SimsekJ05",0
"Özgür Simsek","GreaterAfrican","Muslim","\N","M","conf/icml/SimsekAK16",0
"Özgür Simsek","GreaterAfrican","Muslim","\N","M","conf/icml/Simsek09",0
"Özgür Simsek","GreaterAfrican","Muslim","\N","M","conf/icml/SimsekWB05",0
"Özgür Simsek","GreaterAfrican","Muslim","\N","M","conf/icml/SimsekB06",0
"Özgür Tasar","GreaterAfrican","Muslim","\N","M","conf/chi/BeusekomBT04",2
"Özgür Ulusoy","GreaterAfrican","Muslim","\N","M","conf/www/SazogluUAOC15",1
"Özgür Ulusoy","GreaterAfrican","Muslim","\N","M","conf/www/OzcanAU08",2
"Özgür Ulusoy","GreaterAfrican","Muslim","\N","M","conf/sigir/AliciAOCU11",4
"Özgür Ulusoy","GreaterAfrican","Muslim","\N","M","conf/sigir/AltingovdeOOCU07",4
"Özgür Ulusoy","GreaterAfrican","Muslim","\N","M","conf/ride/SayginUE00",1
"Özgür Ulusoy","GreaterAfrican","Muslim","\N","M","conf/dasfaa/LamULCL01",1
"Özgür Ulusoy","GreaterAfrican","Muslim","\N","M","conf/adbis/KarakayaU01",1
"Özgür Ulusoy","GreaterAfrican","Muslim","\N","M","conf/cikm/OzcanAU08",2
